"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-06 13:34:15 013365695_187_000_1","CHOOSE","","28,312.07","Offboard the UNIV2AAVEETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:34:15 013365695_187_000_1","CHOOSE","","28,312.07","Offboard the UNIV2LINKETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:34:15 013365695_187_000_1","CHOOSE","","28,312.07","Offboard the LRC-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:34:15 013365695_187_000_1","CHOOSE","","28,312.07","Offboard the ZRX-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:34:15 013365695_187_000_1","CHOOSE","","28,312.07","Offboard the BAT-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:34:15 013365695_187_000_0","RETRACT","","28,312.07","Offboard the ZRX-A Vault Type - October 4, 2021","",""
"2021-10-06 13:34:15 013365695_187_000_0","RETRACT","","28,312.07","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","",""
"2021-10-06 13:34:15 013365695_187_000_0","RETRACT","","28,312.07","Offboard the UNIV2AAVEETH-A Vault Type - October 4, 2021","",""
"2021-10-06 13:34:15 013365695_187_000_0","RETRACT","","28,312.07","Offboard the UNIV2LINKETH-A Vault Type - October 4, 2021","",""
"2021-10-06 13:34:15 013365695_187_000_0","RETRACT","","28,312.07","Offboard the LRC-A Vault Type - October 4, 2021","",""
"2021-10-06 13:34:15 013365695_187_000_0","RETRACT","","28,312.07","Offboard the BAT-A Vault Type - October 4, 2021","",""
"2021-10-06 13:32:31 013365689_465_000_0","CHOOSE","","28,312.07","Offboard the LRC-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:32:31 013365689_465_000_0","CHOOSE","","28,312.07","Offboard the ZRX-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:32:31 013365689_465_000_0","CHOOSE","","28,312.07","Offboard the BAT-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:32:31 013365689_465_000_0","CHOOSE","","28,312.07","Offboard the UNIV2AAVEETH-A Vault Type - October 4, 2021","Yes",""
