"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","Increase the WSTETH-A Debt Ceiling - November 8, 2021","Yes",""
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","Add WBTC-B as a new Vault Type - November 8, 2021","Yes",""
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","DIRECT-AAVEV2-DAI Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","GUNIV3DAIUSDC-A Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","NS-DROP Covenant Modification - November 8, 2021","Abstain",""
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","Recognised Delegate Compensation Increase - November 8, 2021","Abstain",""
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","Community Greenlight Poll - OHM (Olympus DAO) - November 1, 2021","No (Defer)",""
"2021-11-08 22:13:32 013578353_144_000_0","CHOOSE","","50.27","Community Greenlight Poll - MDI (MD Irradiance LLC) - November 1, 2021","Abstain",""
"2021-11-05 19:49:17 013558569_071_000_3","VOTE","","50.27","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-05 19:49:17 013558569_071_000_2","VOTE","","50.27","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-05 19:49:17 013558569_071_000_1","MOVE VOTE","","50.27","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-05 19:49:17 013558569_071_000_0","MOVE VOTE","","50.27","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-11-04 16:00:00 013551154_000_000","FINAL_CHOICE","","50.27","Lower PSM Vault Fees - November 1, 2021","Yes",""
"2021-11-04 16:00:00 013551154_000_000","FINAL_CHOICE","","50.27","Parameter Changes Proposal - MakerDAO Open Market Committee - November 1, 2021","Yes",""
"2021-11-04 09:41:46 013549489_245_001_2","UP-VOTE","","50.27","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-04 09:41:46 013549489_245_001_1","UP-VOTE","","50.27","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-11-04 09:41:46 013549489_245_001_0","STAKE","17.27","50.27","","",""
"2021-11-03 04:41:10 013541843_296_000_0","CHOOSE","","33.00","Lower PSM Vault Fees - November 1, 2021","Yes",""
"2021-11-03 04:41:10 013541843_296_000_0","CHOOSE","","33.00","Parameter Changes Proposal - MakerDAO Open Market Committee - November 1, 2021","Yes",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","33.00","Clean Money Sentiment - October 25, 2021","Yes",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","33.00","Community Greenlight Poll - CSC (Curio Stablecoin) - October 18, 2021","No (Defer)",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","33.00","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","33.00","Community Greenlight Poll - TM2-DROP (Technology Metals Market) - October 18, 2021","No (Defer)",""
"2021-10-31 10:32:46 013524282_134_000_2","VOTE","","33.00","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-10-31 10:32:46 013524282_134_000_1","VOTE","","33.00","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-31 10:32:46 013524282_134_000_0","MOVE VOTE","","33.00","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-28 16:00:00 013506680_000_000","FINAL_CHOICE","","33.00","Recognised Delegate Compensation Trial - October 25, 2021","Abstain",""
"2021-10-28 16:00:00 013506680_000_000","FINAL_CHOICE","","33.00","Raise the ESM threshold and Increase the Governance Delay - October 25, 2021","Yes",""
"2021-10-28 10:19:54 013505143_174_000_0","CHOOSE","","33.00","Recognised Delegate Compensation Trial - October 25, 2021","Abstain",""
"2021-10-28 10:19:54 013505143_174_000_0","CHOOSE","","33.00","Clean Money Sentiment - October 25, 2021","Yes",""
"2021-10-28 10:19:54 013505143_174_000_0","CHOOSE","","33.00","Raise the ESM threshold and Increase the Governance Delay - October 25, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","33.00","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","No",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","33.00","Ratification Poll for Adding Data Insights Core Unit (DIN-001) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","33.00","Ratification Poll for Adding MakerLabs Core Unit (SNUNK-001) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","33.00","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","33.00","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","33.00","Ratification Poll for Growth Core Unit Budget, GRO-001 (MIP40c3-SP37) - October 11, 2021","Yes",""
"2021-10-23 05:43:50 013472010_151_000_2","VOTE","","33.00","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-23 05:43:50 013472010_151_000_1","MOVE VOTE","","33.00","Offboarding USDT Collateral, Core Unit Budget Distributions - October 1, 2021","",""
"2021-10-23 05:43:50 013472010_151_000_0","MOVE VOTE","","33.00","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-21 16:00:00 013461957_000_000","FINAL_CHOICE","","33.00","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-20 09:22:32 013453798_216_000_1","CHOOSE","","33.00","Community Greenlight Poll - CSC (Curio Stablecoin) - October 18, 2021","No (Defer)",""
"2021-10-20 09:22:32 013453798_216_000_1","CHOOSE","","33.00","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-10-20 09:22:32 013453798_216_000_1","CHOOSE","","33.00","Community Greenlight Poll - TM2-DROP (Technology Metals Market) - October 18, 2021","No (Defer)",""
"2021-10-20 09:22:32 013453798_216_000_0","RETRACT","","33.00","Community Greenlight Poll - TM2-DROP (Technology Metals Market) - October 18, 2021","",""
"2021-10-20 09:22:32 013453798_216_000_0","RETRACT","","33.00","Community Greenlight Poll - CSC (Curio Stablecoin) - October 18, 2021","",""
"2021-10-20 09:22:32 013453798_216_000_0","RETRACT","","33.00","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","",""
"2021-10-18 23:39:55 013444762_332_000_0","CHOOSE","","33.00","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","No (Defer)",""
"2021-10-18 23:39:55 013444762_332_000_0","CHOOSE","","33.00","Community Greenlight Poll - TM2-DROP (Technology Metals Market) - October 18, 2021","Yes (Greenlight)",""
"2021-10-18 23:39:55 013444762_332_000_0","CHOOSE","","33.00","Community Greenlight Poll - CSC (Curio Stablecoin) - October 18, 2021","No (Defer)",""
"2021-10-18 23:39:55 013444762_332_000_0","CHOOSE","","33.00","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-18 16:00:00 013442748_000_000","FINAL_CHOICE","","33.00","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Yes (Greenlight)",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","33.00","PaperImperium Supplemental Compensation - October 11, 2021","No",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","33.00","Increase the GUNIV3DAIUSDC1-A Debt Ceiling - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","33.00","Add the Aave Direct Deposit DAI Module (D3M) - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","33.00","Nexo Institutional Vault Onboarding - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","33.00","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
"2021-10-12 10:41:45 013403145_038_000_1","CHOOSE","","33.00","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Yes (Greenlight)",""
"2021-10-12 10:41:45 013403145_038_000_0","CHOOSE","","33.00","Ratification Poll for Growth Core Unit Budget, GRO-001 (MIP40c3-SP37) - October 11, 2021","Yes",""
"2021-10-12 10:41:45 013403145_038_000_0","CHOOSE","","33.00","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
