"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-14 14:59:34 013416994_458_000_0","CHOOSE","","139.34","Increase the GUNIV3DAIUSDC1-A Debt Ceiling - October 11, 2021","Yes",""
"2021-10-14 14:59:34 013416994_458_000_0","CHOOSE","","139.34","Add the Aave Direct Deposit DAI Module (D3M) - October 11, 2021","Yes",""
"2021-10-14 14:59:34 013416994_458_000_0","CHOOSE","","139.34","PaperImperium Supplemental Compensation - October 11, 2021","Yes",""
"2021-10-14 14:59:34 013416994_458_000_0","RETRACT","","139.34","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","",""
"2021-10-13 01:03:30 013407035_076_001_1","DOWN-VOTE","","348.66","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-10-13 01:03:30 013407035_076_001_0","WITHDRAW","-209.31","139.34","","",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","348.66","Offboard the LRC-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","348.66","Offboard the UNIV2LINKETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","348.66","Offboard the ZRX-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","348.66","Offboard the UNIV2AAVEETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","348.66","Offboard the BAT-A Vault Type - October 4, 2021","Yes",""
"2021-10-05 17:41:56 013360446_361_000_0","CHOOSE","","348.66","Offboard the BAT-A Vault Type - October 4, 2021","Yes",""
"2021-10-05 17:41:56 013360446_361_000_0","CHOOSE","","348.66","Offboard the ZRX-A Vault Type - October 4, 2021","Yes",""
"2021-10-05 17:41:56 013360446_361_000_0","CHOOSE","","348.66","Offboard the LRC-A Vault Type - October 4, 2021","Yes",""
"2021-10-05 17:41:56 013360446_361_000_0","CHOOSE","","348.66","Offboard the UNIV2LINKETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-05 17:41:56 013360446_361_000_0","CHOOSE","","348.66","Offboard the UNIV2AAVEETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-05 17:41:56 013360446_361_000_0","CHOOSE","","348.66","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Yes (Greenlight)",""
"2021-10-01 01:55:11 013330629_299_001_1","UP-VOTE","","348.66","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-10-01 01:55:11 013330629_299_001_0","STAKE","25.88","348.66","","",""
"2021-09-30 16:00:00 013327994_000_000","FINAL_CHOICE","","322.77","Offboard USDT Collateral Types - September 27, 2021","Yes",""
"2021-09-29 20:59:36 013322964_116_000_0","CHOOSE","","322.77","Offboard USDT Collateral Types - September 27, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","Abstain",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for Risk Core Unit MKR Compensation (MIP40c3-SP25) -  September 13, 2021","Abstain",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for Modify Core Unit Budget - Sustainable Ecosystem Scaling (MIP40c3-SP31) - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","322.77","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Abstain",""
"2021-09-23 16:00:00 013282937_000_000","FINAL_CHOICE","","322.77","Increase the System Surplus Buffer - September 20, 2021","Yes",""
"2021-09-23 16:00:00 013282937_000_000","FINAL_CHOICE","","322.77","Adjusting Auction Parameters for ETH-A, ETH-B, ETH-C, and WBTC-A - September 20, 2021","Yes",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","Abstain",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for Modify Core Unit Budget - Sustainable Ecosystem Scaling (MIP40c3-SP31) - September 13, 2021","Yes",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Community Greenlight Poll - SB-DDC (Solid Block Detox Digital Coins) - September 20, 2021","Abstain",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for Risk Core Unit MKR Compensation (MIP40c3-SP25) -  September 13, 2021","Abstain",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Community Greenlight Poll - REIF-DROP (Commercial Real Estate Assets DROP) - September 20, 2021","Abstain",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Adjusting Auction Parameters for ETH-A, ETH-B, ETH-C, and WBTC-A - September 20, 2021","Yes",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Increase the System Surplus Buffer - September 20, 2021","Yes",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Yes",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Abstain",""
"2021-09-23 14:16:18 013282489_254_000_0","CHOOSE","","322.77","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Yes",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","322.77","Community Greenlight Poll - RARE (SuperRare) - September 6, 2021","No (Defer)",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","322.77","Community Greenlight Poll - RAI (Rai Reflex Index) - September 6, 2021","Yes (Greenlight)",""
"2021-09-20 12:39:55 013262648_109_001_1","UP-VOTE","","322.77","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-09-20 12:39:55 013262648_109_001_0","STAKE","34.85","322.77","","",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","287.92","Adopt the Debt Ceiling Instant Access Module (DC-IAM) for PSM-PAX-A - September 13, 2021","Yes",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","287.92","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","287.92","Offboard KNC Legacy Token - September 13, 2021","Yes",""
"2021-09-16 14:05:11 013237198_024_000_0","CHOOSE","","287.92","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-16 14:05:11 013237198_024_000_0","CHOOSE","","287.92","Offboard KNC Legacy Token - September 13, 2021","Yes",""
"2021-09-16 14:05:11 013237198_024_000_0","CHOOSE","","287.92","Adopt the Debt Ceiling Instant Access Module (DC-IAM) for PSM-PAX-A - September 13, 2021","Yes",""
"2021-09-08 21:44:08 013187619_177_000_1","VOTE","","287.92","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-09-08 21:44:08 013187619_177_000_0","MOVE VOTE","","287.92","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-09-08 21:44:08 013187619_176_000_0","CHOOSE","","287.92","Community Greenlight Poll - RAI (Rai Reflex Index) - September 6, 2021","Yes (Greenlight)",""
"2021-09-08 21:44:08 013187619_176_000_0","CHOOSE","","287.92","Community Greenlight Poll - RARE (SuperRare) - September 6, 2021","No (Defer)",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","287.92","Community Greenlight Poll - CNC1-DROP (CapitalNow Cannabis DROP) - August 16, 2021","Abstain",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","287.92","Community Greenlight Poll - CGFF-DROP (Cauris Global Fintech Fund DROP) - August 16, 2021","Abstain",""
"2021-08-30 16:00:00 013127846_000_000","FINAL_CHOICE","","287.92","Community Greenlight Poll - NCP01-DROP (Nebula Capital Partners DROP) - August 16, 2021","Abstain",""
"2021-08-28 14:40:44 013114487_125_001_1","UP-VOTE","","287.92","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-28 14:40:44 013114487_125_001_0","STAKE","148.57","287.92","","",""
"2021-08-26 21:08:02 013103375_283_000_1","VOTE","","139.34","Vault Onboarding, 6s Updates, and Reducing Vault Liquidation Ratios - August 20, 2021","",""
"2021-08-26 21:08:02 013103375_283_000_0","MOVE VOTE","","139.34","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-23 16:00:00 013082501_000_000","FINAL_CHOICE","","139.34","Ratification Poll for Declaration of Intent - Onboarding a new collateral type backed by B.Protocol v2 (MIP13c3-SP11) - August 9, 2021","Yes",""
"2021-08-23 16:00:00 013082501_000_000","FINAL_CHOICE","","139.34","Ratification Poll for DAI Foundation Core Unit, DAIF-001 - August 9, 2021","Yes",""
"2021-08-23 16:00:00 013082501_000_000","FINAL_CHOICE","","139.34","Ratification Poll for Growth Core Unit MKR Budget, GRO-001 (MIP40c3-SP23) - August 9, 2021","Yes",""
"2021-08-21 15:46:41 013069532_122_001_1","UP-VOTE","","139.34","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-21 15:46:41 013069532_122_001_0","STAKE","100.00","139.34","","",""
"2021-08-19 23:01:32 013058593_251_001_1","UP-VOTE","","39.34","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-19 23:01:32 013058593_251_001_0","STAKE","25.00","39.34","","",""
"2021-08-19 16:00:00 013056663_000_000","FINAL_CHOICE","","14.34","Reduce Vault Liquidation Ratios - August 16, 2021","Yes",""
"2021-08-19 16:00:00 013056663_000_000","FINAL_CHOICE","","14.34","Onboarding PAX Peg Stability Module - August 16, 2021","Yes",""
"2021-08-18 20:21:15 013051335_194_001_1","UP-VOTE","","14.34","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-18 20:21:15 013051335_194_001_0","STAKE","1.11","14.34","","",""
"2021-08-18 18:31:43 013050838_024_001_1","UP-VOTE","","13.23","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-18 18:31:43 013050838_024_001_0","STAKE","1.69","13.23","","",""
"2021-08-16 17:41:32 013037625_253_000_0","CHOOSE","","11.54","Community Greenlight Poll - CNC1-DROP (CapitalNow Cannabis DROP) - August 16, 2021","Abstain",""
"2021-08-16 17:41:32 013037625_253_000_0","CHOOSE","","11.54","Community Greenlight Poll - NCP01-DROP (Nebula Capital Partners DROP) - August 16, 2021","Abstain",""
"2021-08-16 17:41:32 013037625_253_000_0","CHOOSE","","11.54","Reduce Vault Liquidation Ratios - August 16, 2021","Yes",""
"2021-08-16 17:41:32 013037625_253_000_0","CHOOSE","","11.54","Onboarding PAX Peg Stability Module - August 16, 2021","Yes",""
"2021-08-16 17:41:32 013037625_253_000_0","CHOOSE","","11.54","Community Greenlight Poll - CGFF-DROP (Cauris Global Fintech Fund DROP) - August 16, 2021","Abstain",""
"2021-08-16 16:00:00 013037178_000_000","FINAL_CHOICE","","11.54","Community Greenlight Poll - RWA-120dB (120dB Films) - August 02, 2021","Yes (Greenlight)",""
"2021-08-10 00:51:53 012994279_075_000_0","VOTE","","11.54","MOMC Proposal, August Core Unit Budgets, Housekeeping - August 6, 2021","",""
"2021-08-09 23:52:17 012994026_033_000_0","CHOOSE","","11.54","Ratification Poll for Growth Core Unit MKR Budget, GRO-001 (MIP40c3-SP23) - August 9, 2021","Yes",""
"2021-08-09 23:52:17 012994026_033_000_0","CHOOSE","","11.54","Ratification Poll for Declaration of Intent - Onboarding a new collateral type backed by B.Protocol v2 (MIP13c3-SP11) - August 9, 2021","Yes",""
"2021-08-09 23:52:17 012994026_033_000_0","CHOOSE","","11.54","Ratification Poll for DAI Foundation Core Unit, DAIF-001 - August 9, 2021","Yes",""
"2021-08-09 23:52:17 012994026_033_000_0","CHOOSE","","11.54","Community Greenlight Poll - RWA-120dB (120dB Films) - August 02, 2021","Yes (Greenlight)",""
"2021-08-09 23:44:07 012993993_139_001_0","STAKE","11.54","11.54","","",""
