"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","102.26","Nexo Institutional Vault Onboarding - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","102.26","PaperImperium Supplemental Compensation - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","102.26","Increase the GUNIV3DAIUSDC1-A Debt Ceiling - October 11, 2021","Yes",""
"2021-10-13 02:31:38 013407425_338_000_0","CHOOSE","","102.26","Nexo Institutional Vault Onboarding - October 11, 2021","Yes",""
"2021-10-13 02:31:38 013407425_338_000_0","CHOOSE","","102.26","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
"2021-10-13 02:31:38 013407425_338_000_0","CHOOSE","","102.26","Add the Aave Direct Deposit DAI Module (D3M) - October 11, 2021","Yes",""
"2021-10-13 02:31:38 013407425_338_000_0","CHOOSE","","102.26","PaperImperium Supplemental Compensation - October 11, 2021","Yes",""
"2021-10-13 02:31:38 013407425_338_000_0","CHOOSE","","102.26","Increase the GUNIV3DAIUSDC1-A Debt Ceiling - October 11, 2021","Yes",""
"2021-10-09 12:58:34 013384672_029_000_3","VOTE","","102.26","Offboarding USDT Collateral, Core Unit Budget Distributions - October 1, 2021","",""
"2021-10-09 12:58:34 013384672_029_000_2","VOTE","","102.26","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-09 12:58:34 013384672_029_000_1","MOVE VOTE","","102.26","Offboarding USDT Collateral, Core Unit Budget Distributions - October 1, 2021","",""
"2021-10-09 12:58:34 013384672_029_000_0","MOVE VOTE","","102.26","Adjusting Auction Parameters and Testing Layer 2 Components - September 24, 2021","",""
"2021-10-03 22:38:31 013348965_014_000_0","CHOOSE","","102.26","Community Greenlight Poll - REIF-DROP (Commercial Real Estate Assets DROP) - September 20, 2021","Abstain",""
"2021-10-03 22:38:31 013348965_014_000_0","CHOOSE","","102.26","Community Greenlight Poll - SB-DDC (Solid Block Detox Digital Coins) - September 20, 2021","Abstain",""
"2021-10-02 04:52:43 013337844_068_000_3","VOTE","","102.26","Offboarding USDT Collateral, Core Unit Budget Distributions - October 1, 2021","",""
"2021-10-02 04:52:43 013337844_068_000_2","VOTE","","102.26","Adjusting Auction Parameters and Testing Layer 2 Components - September 24, 2021","",""
"2021-10-02 04:52:43 013337844_068_000_1","MOVE VOTE","","102.26","Collateral Onboarding and Offboarding, PSM DC-IAM changes - September 17, 2021","",""
"2021-10-02 04:52:43 013337844_068_000_0","MOVE VOTE","","102.26","Adjusting Auction Parameters and Testing Layer 2 Components - September 24, 2021","",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Collateral Engineering Services Core Unit, CES-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Abstain",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Abstain",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Risk Core Unit MKR Compensation (MIP40c3-SP25) -  September 13, 2021","Yes",""
"2021-09-27 16:00:00 013308756_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Modify Core Unit Budget - Sustainable Ecosystem Scaling (MIP40c3-SP31) - September 13, 2021","Yes",""
"2021-09-24 18:38:52 013290126_218_000_2","VOTE","","102.26","Collateral Onboarding and Offboarding, PSM DC-IAM changes - September 17, 2021","",""
"2021-09-24 18:38:52 013290126_218_000_1","VOTE","","102.26","Adjusting Auction Parameters and Testing Layer 2 Components - September 24, 2021","",""
"2021-09-24 18:38:52 013290126_218_000_0","MOVE VOTE","","102.26","Collateral Onboarding and Offboarding, PSM DC-IAM changes - September 17, 2021","",""
"2021-09-23 16:00:00 013282937_000_000","FINAL_CHOICE","","102.26","Adjusting Auction Parameters for ETH-A, ETH-B, ETH-C, and WBTC-A - September 20, 2021","Yes",""
"2021-09-23 16:00:00 013282937_000_000","FINAL_CHOICE","","102.26","Increase the System Surplus Buffer - September 20, 2021","Yes",""
"2021-09-22 03:09:52 013273068_041_000_0","CHOOSE","","102.26","Increase the System Surplus Buffer - September 20, 2021","Yes",""
"2021-09-22 03:09:52 013273068_041_000_0","CHOOSE","","102.26","Adjusting Auction Parameters for ETH-A, ETH-B, ETH-C, and WBTC-A - September 20, 2021","Yes",""
"2021-09-21 03:53:21 013266792_053_000_1","VOTE","","102.26","Collateral Onboarding and Offboarding, PSM DC-IAM changes - September 17, 2021","",""
"2021-09-21 03:53:21 013266792_053_000_0","MOVE VOTE","","102.26","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","102.26","Community Greenlight Poll - RAI (Rai Reflex Index) - September 6, 2021","Abstain",""
"2021-09-20 16:00:00 013263577_000_000","FINAL_CHOICE","","102.26","Community Greenlight Poll - RARE (SuperRare) - September 6, 2021","No (Defer)",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","102.26","Offboard KNC Legacy Token - September 13, 2021","Yes",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","102.26","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-16 16:00:00 013237728_000_000","FINAL_CHOICE","","102.26","Adopt the Debt Ceiling Instant Access Module (DC-IAM) for PSM-PAX-A - September 13, 2021","Yes",""
"2021-09-14 04:55:39 013221790_019_000_0","CHOOSE","","102.26","Ratification Poll for GovAlpha Core Unit Budget Q4 2021 to Q1 2022 (MIP40c3-SP29) - September 13, 2021","Yes",""
"2021-09-14 04:55:39 013221790_019_000_0","CHOOSE","","102.26","Ratification Poll for RWA Foundations (MIP58) - September 13, 2021","Abstain",""
"2021-09-14 04:55:39 013221790_019_000_0","CHOOSE","","102.26","Ratification Poll for Development & UX Core Unit, DUX-001 - September 13, 2021","Yes",""
"2021-09-14 04:55:39 013221790_019_000_0","CHOOSE","","102.26","Ratification Poll for Strategic Happiness Core Unit, SH-001 - September 13, 2021","Yes",""
"2021-09-14 04:55:39 013221790_019_000_0","CHOOSE","","102.26","Add GUNIV3DAIUSDC1-A as a new Vault Type - September 13, 2021","Yes",""
"2021-09-14 04:55:39 013221790_019_000_0","CHOOSE","","102.26","Ratification Poll for StarkNet Engineering Core Unit, SNE-001 - September 13, 2021","Abstain",""
